Date,Returns,Drawdown
2024-04-24,0.2115,-0.02
2024-04-25,0.2129,-0.02
2024-04-26,0.2133,-0.02
2024-04-29,0.2142,-0.02
2024-04-30,0.2133,-0.02
2024-05-01,0.2124,-0.02
2024-05-02,0.2115,-0.02
2024-05-03,0.2115,-0.02
2024-05-06,0.2106,-0.02
2024-05-07,0.2106,-0.02
2024-05-07,0.2107,-0.02
2024-05-07,0.2099,-0.02
2024-05-08,0.2099,-0.02
2024-05-08,0.2098,-0.02
2024-05-09,0.2112,-0.02
2024-05-10,0.2107,-0.02
2024-05-10,0.8967,0.0
2024-05-10,0.8938,0.0
2024-05-13,0.8942,0.0
2024-05-14,0.894,0.0
2024-05-14,0.8931,0.0
2024-05-14,0.8931,0.0
2024-05-14,0.8931,0.0
2024-05-14,0.8932,0.0
2024-05-15,0.8932,0.0
2024-05-15,0.8923,0.0
2024-05-15,0.892,0.0
2024-05-15,0.8918,0.0
2024-05-15,0.8914,0.0
2024-05-15,0.8901,0.0
2024-05-15,0.8903,0.0
2024-05-16,0.8893,0.0
2024-05-16,0.8873,0.0
2024-05-16,0.8873,0.0
2024-05-16,0.8872,-0.01
2024-05-16,0.8871,-0.01
2024-05-16,0.887,-0.01
2024-05-16,0.8868,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8867,-0.01
2024-05-16,0.8867,-0.01
2024-05-16,0.8867,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8864,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8864,-0.01
2024-05-16,0.8866,-0.01
2024-05-16,0.8865,-0.01
2024-05-16,0.8864,-0.01
2024-05-16,0.8859,-0.01
2024-05-17,0.8859,-0.01
2024-05-17,0.8858,-0.01
2024-05-17,0.8853,-0.01
2024-05-17,0.8855,-0.01
2024-05-17,0.8853,-0.01
2024-05-17,0.8857,-0.01
2024-05-17,0.8852,-0.01
2024-05-17,0.8856,-0.01
2024-05-17,0.8852,-0.01
2024-05-17,0.8848,-0.01
2024-05-17,0.8845,-0.01
2024-05-20,0.8846,-0.01
2024-05-20,0.8847,-0.01
2024-05-20,0.8844,-0.01
2024-05-20,0.8846,-0.01
2024-05-20,0.8846,-0.01
2024-05-20,0.8846,-0.01
2024-05-20,0.8848,-0.01
2024-05-21,0.8847,-0.01
2024-05-21,0.8846,-0.01
2024-05-21,0.8845,-0.01
2024-05-21,0.8843,-0.01
2024-05-21,0.885,-0.01
2024-05-21,0.8852,-0.01
2024-05-22,0.8851,-0.01
2024-05-22,0.8853,-0.01
2024-05-22,0.8853,-0.01
2024-05-22,0.8852,-0.01
2024-05-22,0.8852,-0.01
2024-05-22,0.8853,-0.01
2024-05-22,0.8853,-0.01
2024-05-22,0.8852,-0.01
2024-05-22,0.8852,-0.01
2024-05-22,0.8852,-0.01
2024-05-22,0.8854,-0.01
2024-05-22,0.8854,-0.01
2024-05-23,0.8853,-0.01
2024-05-23,0.8854,-0.01
2024-05-23,0.8853,-0.01
2024-05-23,0.8851,-0.01
2024-05-23,0.8849,-0.01
2024-05-23,0.8845,-0.01
2024-05-23,0.8846,-0.01
2024-05-23,0.8844,-0.01
2024-05-23,0.8842,-0.01
2024-05-23,0.8836,-0.01
2024-05-24,0.8836,-0.01
2024-05-24,0.8836,-0.01
2024-05-24,0.8834,-0.01
2024-05-27,0.8832,-0.01
2024-05-27,0.8832,-0.01
2024-05-27,0.8831,-0.01
2024-05-27,0.8829,-0.01
2024-05-28,0.8827,-0.01
2024-05-28,0.883,-0.01
2024-05-28,0.8837,-0.01
2024-05-28,0.8838,-0.01
2024-05-28,0.8836,-0.01
2024-05-28,0.8832,-0.01
2024-05-28,0.8843,-0.01
2024-05-29,0.8837,-0.01
2024-05-29,0.8831,-0.01
2024-05-29,0.8835,-0.01
2024-05-29,0.8831,-0.01
2024-05-29,0.8844,-0.01
2024-05-30,0.8849,-0.01
2024-05-30,0.8854,-0.01
2024-05-30,0.8855,-0.01
2024-05-30,0.8855,-0.01
2024-05-30,0.8852,-0.01
2024-05-30,0.8861,-0.01
2024-05-30,0.8859,-0.01
2024-05-30,0.8861,-0.01
2024-05-30,0.8859,-0.01
2024-05-31,0.886,-0.01
2024-05-31,0.8856,-0.01
2024-05-31,0.8863,-0.01
2024-08-09,0.8847,-0.01
2024-08-09,0.8803,-0.01
2024-08-15,0.8806,-0.01
2024-08-13,0.8806,-0.01
2024-08-13,0.8779,-0.01
2024-08-15,0.8802,-0.01
2024-08-19,0.8799,-0.01
2024-08-19,0.8804,-0.01
2024-08-20,0.8805,-0.01
2024-08-20,0.8807,-0.01
2024-08-21,0.8809,-0.01
2024-08-21,0.8806,-0.01
2024-08-21,0.8809,-0.01
2024-08-22,0.8811,-0.01
2024-08-22,0.8815,-0.01
2024-08-22,0.8817,-0.01
2024-08-22,0.8817,-0.01
2024-08-22,0.8816,-0.01
2024-08-22,0.8814,-0.01
2024-08-22,0.8815,-0.01
2024-08-22,0.8812,-0.01
2024-08-22,0.881,-0.01
2024-08-23,0.881,-0.01
2024-08-23,0.8811,-0.01
2024-08-23,0.8813,-0.01
2024-08-23,0.8815,-0.01
2024-08-26,0.8818,-0.01
2024-08-27,0.8821,-0.01
2024-08-27,0.8822,-0.01
2024-08-28,0.8824,-0.01
2024-08-28,0.8825,-0.01
2024-08-28,0.8823,-0.01
2024-08-29,0.8823,-0.01
2024-08-29,0.8824,-0.01
